id,city,daypart,visit_daypart,year,daypart_index
367796,Cần Thơ,0h - 9h,10.0,2018,1
367796,Cần Thơ,17h - 21h,13.0,2018,5
367797,Hà Nội,14h - 17h,2.0,2018,4
367797,Hà Nội,17h - 21h,3.0,2018,5
367856,Hồ Chí Minh,0h - 9h,10.0,2018,1
367856,Hồ Chí Minh,9h - 11h,3.0,2018,2
367856,Hồ Chí Minh,17h - 21h,4.0,2018,5
367857,Hồ Chí Minh,0h - 9h,6.0,2018,1
367858,Hồ Chí Minh,17h - 21h,1.0,2018,5
367858,Hồ Chí Minh,0h - 9h,6.0,2018,1
367859,Hồ Chí Minh,0h - 9h,6.0,2018,1
367860,Hồ Chí Minh,17h - 21h,5.0,2018,5
367861,Hồ Chí Minh,17h - 21h,2.0,2018,5
367863,Hồ Chí Minh,0h - 9h,6.0,2018,1
367864,Hồ Chí Minh,17h - 21h,6.0,2018,5
367997,Đà Nẵng,9h - 11h,4.0,2018,2
367997,Đà Nẵng,0h - 9h,6.0,2018,1
368104,Hải Phòng,0h - 9h,2.0,2018,1
368122,Cần Thơ,0h - 9h,2.0,2018,1
368126,Cần Thơ,17h - 21h,10.0,2018,5
368127,Cần Thơ,17h - 21h,10.0,2018,5
368128,Cần Thơ,17h - 21h,10.0,2018,5
368129,Cần Thơ,17h - 21h,10.0,2018,5
368130,Cần Thơ,17h - 21h,10.0,2018,5
368132,Cần Thơ,17h - 21h,8.0,2018,5
368200,Hà Nội,17h - 21h,4.0,2018,5
368201,Hà Nội,9h - 11h,3.0,2018,2
368241,Hà Nội,17h - 21h,6.0,2018,5
368244,Hà Nội,17h - 21h,4.0,2018,5
368244,Hà Nội,21h+,2.0,2018,6
368245,Hà Nội,17h - 21h,2.0,2018,5
368245,Hà Nội,21h+,3.0,2018,6
368246,Hà Nội,17h - 21h,3.0,2018,5
368246,Hà Nội,11h - 14h,3.0,2018,3
368247,Hà Nội,9h - 11h,5.0,2018,2
368247,Hà Nội,17h - 21h,3.0,2018,5
368248,Hà Nội,17h - 21h,5.0,2018,5
368249,Hà Nội,14h - 17h,2.0,2018,4
368249,Hà Nội,17h - 21h,3.0,2018,5
368256,Cần Thơ,0h - 9h,24.0,2018,1
368267,Cần Thơ,0h - 9h,24.0,2018,1
368349,Cần Thơ,0h - 9h,24.0,2018,1
368350,Hồ Chí Minh,0h - 9h,8.0,2018,1
368351,Hồ Chí Minh,0h - 9h,24.0,2018,1
368352,Hồ Chí Minh,0h - 9h,8.0,2018,1
368354,Hồ Chí Minh,0h - 9h,16.0,2018,1
368355,Hồ Chí Minh,0h - 9h,4.0,2018,1
368356,Hồ Chí Minh,0h - 9h,20.0,2018,1
368379,Hải Phòng,9h - 11h,2.0,2018,2
368380,Hải Phòng,17h - 21h,6.0,2018,5
368380,Hải Phòng,0h - 9h,6.0,2018,1
368410,Hồ Chí Minh,17h - 21h,2.0,2018,5
368411,Hải Phòng,0h - 9h,4.0,2018,1
368415,Hải Phòng,17h - 21h,1.0,2018,5
368416,Hải Phòng,17h - 21h,5.0,2018,5
368417,Cần Thơ,0h - 9h,5.0,2018,1
368417,Cần Thơ,17h - 21h,9.0,2018,5
368418,Cần Thơ,17h - 21h,1.0,2018,5
368418,Cần Thơ,0h - 9h,3.0,2018,1
368419,Cần Thơ,17h - 21h,2.0,2018,5
368419,Cần Thơ,0h - 9h,2.0,2018,1
368425,Hải Phòng,17h - 21h,1.0,2018,5
368426,Hải Phòng,0h - 9h,2.0,2018,1
368426,Hải Phòng,17h - 21h,3.0,2018,5
368428,Hải Phòng,17h - 21h,2.0,2018,5
368428,Hải Phòng,0h - 9h,16.0,2018,1
368429,Hải Phòng,0h - 9h,1.0,2018,1
368429,Hải Phòng,11h - 14h,1.0,2018,3
368429,Hải Phòng,17h - 21h,1.0,2018,5
368436,Hồ Chí Minh,0h - 9h,14.0,2018,1
368436,Hồ Chí Minh,11h - 14h,10.0,2018,3
368436,Hồ Chí Minh,17h - 21h,2.0,2018,5
368448,Hải Phòng,17h - 21h,14.0,2018,5
368448,Hải Phòng,0h - 9h,9.0,2018,1
368449,Hồ Chí Minh,11h - 14h,4.0,2018,3
368449,Hồ Chí Minh,17h - 21h,4.0,2018,5
368449,Hồ Chí Minh,0h - 9h,3.0,2018,1
368450,Hồ Chí Minh,11h - 14h,3.0,2018,3
368450,Hồ Chí Minh,0h - 9h,5.0,2018,1
368451,Hồ Chí Minh,11h - 14h,2.0,2018,3
368451,Hồ Chí Minh,0h - 9h,20.0,2018,1
368451,Hồ Chí Minh,17h - 21h,2.0,2018,5
368460,Hồ Chí Minh,0h - 9h,1.0,2018,1
368460,Hồ Chí Minh,11h - 14h,3.5,2018,3
368468,Hà Nội,17h - 21h,1.0,2018,5
368468,Hà Nội,11h - 14h,1.0,2018,3
368469,Hà Nội,9h - 11h,1.0,2018,2
368469,Hà Nội,17h - 21h,1.0,2018,5
368472,Hải Phòng,0h - 9h,26.0,2018,1
368473,Hải Phòng,0h - 9h,2.0,2018,1
368481,Hồ Chí Minh,14h - 17h,2.0,2018,4
