id,year,city,brand,p1m,weekly,daily,visit,ppa,spending,segmentation,R_score,F_score,M_score,RFM_segment,KMeans_segment
93385,2017,Hồ Chí Minh,Phúc Long,Yes,Yes,No,6.0,55.0,330.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
93386,2017,Hồ Chí Minh,Phúc Long,Yes,Yes,No,4.0,35.0,140.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,1,331,1
93388,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,4.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
93391,2017,Hồ Chí Minh,Phúc Long,Yes,Yes,No,4.0,50.0,250.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
93391,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,1.0,50.0,250.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
93981,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
93982,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
94027,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,8.0,50.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
94132,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,4.0,60.0,480.0,Seg.03 - Premium (VND 60K - VND 99K),3,3,3,333,3
94133,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,4.0,100.0,400.0,Seg.04 - Super Premium (VND 100K+),3,3,4,334,3
94136,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,7.0,40.0,280.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
94137,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,Yes,30.0,70.0,2100.0,Seg.03 - Premium (VND 60K - VND 99K),4,4,3,443,3
94138,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,3.0,60.0,180.0,Seg.03 - Premium (VND 60K - VND 99K),2,2,3,223,0
94210,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,4.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
94225,2017,Hồ Chí Minh,Starbucks,Yes,Yes,No,5.0,90.0,1080.0,Seg.03 - Premium (VND 60K - VND 99K),3,3,4,334,3
94225,2017,Hồ Chí Minh,Phúc Long,Yes,Yes,No,7.0,90.0,1080.0,Seg.03 - Premium (VND 60K - VND 99K),3,4,4,344,3
94226,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,40.0,80.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
