id,city,companion_group,year
359566,Cần Thơ,Colleagues / Business partner,2018
359566,Cần Thơ,Boyfriend / Girlfriend,2018
359632,Hà Nội,Friends,2018
359683,Đà Nẵng,Friends,2018
359683,Đà Nẵng,Colleagues / Business partner,2018
359683,Đà Nẵng,Family,2018
359718,Cần Thơ,Friends,2018
359847,Cần Thơ,Friends,2018
359874,Hà Nội,Colleagues / Business partner,2018
359874,Hà Nội,Friends,2018
359875,Hà Nội,Friends,2018
359876,Hà Nội,Family,2018
359876,Hà Nội,Friends,2018
359883,Hà Nội,Friends,2018
359883,Hà Nội,Family,2018
359884,Hà Nội,Family,2018
359885,Hà Nội,Colleagues / Business partner,2018
359885,Hà Nội,Friends,2018
359885,Hà Nội,Family,2018
359941,Hà Nội,Friends,2018
359945,Hà Nội,Friends,2018
359945,Hà Nội,Colleagues / Business partner,2018
359946,Hà Nội,Family,2018
359946,Hà Nội,Friends,2018
359946,Hà Nội,Colleagues / Business partner,2018
359947,Hà Nội,Family,2018
359947,Hà Nội,Friends,2018
359983,Hà Nội,Boyfriend / Girlfriend,2018
359983,Hà Nội,Friends,2018
359984,Hà Nội,Friends,2018
359984,Hà Nội,Family,2018
359984,Hà Nội,Boyfriend / Girlfriend,2018
359985,Hà Nội,Colleagues / Business partner,2018
359985,Hà Nội,Family,2018
359985,Hà Nội,Friends,2018
360020,Cần Thơ,Friends,2018
360089,Đà Nẵng,Friends,2018
360106,Cần Thơ,Colleagues / Business partner,2018
360211,Cần Thơ,Family,2018
360220,Hà Nội,Family,2018
360220,Hà Nội,Friends,2018
360355,Cần Thơ,Family,2018
360397,Cần Thơ,Friends,2018
360398,Cần Thơ,Friends,2018
360443,Hà Nội,Boyfriend / Girlfriend,2018
360511,Hà Nội,Friends,2018
360511,Hà Nội,Boyfriend / Girlfriend,2018
360512,Hà Nội,Family,2018
360512,Hà Nội,Friends,2018
360512,Hà Nội,Colleagues / Business partner,2018
360513,Hà Nội,Family,2018
360517,Hà Nội,Boyfriend / Girlfriend,2018
360518,Hà Nội,Friends,2018
360525,Hà Nội,Friends,2018
360526,Hà Nội,Friends,2018
360588,Cần Thơ,Colleagues / Business partner,2018
360588,Cần Thơ,Family,2018
360588,Cần Thơ,Friends,2018
360704,Hà Nội,Friends,2018
360729,Cần Thơ,Friends,2018
360730,Cần Thơ,Family,2018
360730,Cần Thơ,Friends,2018
360731,Cần Thơ,Colleagues / Business partner,2018
360731,Cần Thơ,Friends,2018
360732,Cần Thơ,Colleagues / Business partner,2018
360733,Cần Thơ,Colleagues / Business partner,2018
360733,Cần Thơ,Friends,2018
360734,Cần Thơ,Friends,2018
360734,Cần Thơ,Colleagues / Business partner,2018
360735,Cần Thơ,Family,2018
360736,Cần Thơ,Friends,2018
360736,Cần Thơ,Family,2018
360736,Cần Thơ,Boyfriend / Girlfriend,2018
360737,Cần Thơ,Colleagues / Business partner,2018
360737,Cần Thơ,Friends,2018
360831,Cần Thơ,Colleagues / Business partner,2018
360921,Cần Thơ,Friends,2018
360921,Cần Thơ,Family,2018
361006,Cần Thơ,Family,2018
361006,Cần Thơ,Friends,2018
361053,Cần Thơ,Family,2018
361054,Cần Thơ,Family,2018
361181,Cần Thơ,Friends,2018
361212,Cần Thơ,Friends,2018
361456,Cần Thơ,Colleagues / Business partner,2018
361473,Hà Nội,Friends,2018
361473,Hà Nội,Colleagues / Business partner,2018
361482,Cần Thơ,Friends,2018
361483,Cần Thơ,Friends,2018
361484,Cần Thơ,Friends,2018
361515,Hà Nội,Friends,2018
361515,Hà Nội,Colleagues / Business partner,2018
361515,Hà Nội,Family,2018
361518,Cần Thơ,Friends,2018
361518,Cần Thơ,Family,2018
361519,Cần Thơ,Friends,2018
361519,Cần Thơ,Family,2018
361560,Cần Thơ,Friends,2018
361753,Cần Thơ,Friends,2018
361768,Hà Nội,Friends,2018
361768,Hà Nội,Colleagues / Business partner,2018
361768,Hà Nội,Family,2018
361791,Cần Thơ,Family,2018
361791,Cần Thơ,Friends,2018
361793,Cần Thơ,Alone,2018
361793,Cần Thơ,Family,2018
361793,Cần Thơ,Friends,2018
361794,Cần Thơ,Friends,2018
361794,Cần Thơ,Family,2018
361811,Hà Nội,Family,2018
361811,Hà Nội,Colleagues / Business partner,2018
361811,Hà Nội,Friends,2018
361811,Hà Nội,Alone,2018
361905,Cần Thơ,Friends,2018
362007,Cần Thơ,Family,2018
362007,Cần Thơ,Friends,2018
362008,Cần Thơ,Family,2018
362008,Cần Thơ,Friends,2018
362165,Hà Nội,Colleagues / Business partner,2018
362216,Hà Nội,Friends,2018
362216,Hà Nội,Colleagues / Business partner,2018
362216,Hà Nội,Family,2018
362269,Cần Thơ,Friends,2018
362270,Cần Thơ,Friends,2018
362412,Hà Nội,Family,2018
362412,Hà Nội,Colleagues / Business partner,2018
362412,Hà Nội,Friends,2018
362412,Hà Nội,Boyfriend / Girlfriend,2018
362412,Hà Nội,Alone,2018
362512,Cần Thơ,Family,2018
362512,Cần Thơ,Friends,2018
362667,Cần Thơ,Friends,2018
362676,Hà Nội,Friends,2018
362676,Hà Nội,Boyfriend / Girlfriend,2018
362711,Cần Thơ,Family,2018
362711,Cần Thơ,Friends,2018
362829,Hà Nội,Friends,2018
