id,city,dayofweek,visit_dayofweek,year,weekday_end,dayofweek_index
451451,Hồ Chí Minh,Wednesday,4.0,2018,Weekdays,3
451451,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451451,Hồ Chí Minh,Tuesday,4.0,2018,Weekdays,2
451451,Hồ Chí Minh,Friday,4.0,2018,Weekdays,5
451451,Hồ Chí Minh,Thursday,4.0,2018,Weekdays,4
451451,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451454,Đà Nẵng,Thursday,13.0,2018,Weekdays,4
451454,Đà Nẵng,Sunday,2.0,2018,Weekends,7
451454,Đà Nẵng,Monday,14.0,2018,Weekdays,1
451454,Đà Nẵng,Tuesday,16.0,2018,Weekdays,2
451454,Đà Nẵng,Friday,15.0,2018,Weekdays,5
451454,Đà Nẵng,Wednesday,20.0,2018,Weekdays,3
451454,Đà Nẵng,Saturday,10.0,2018,Weekends,6
451455,Đà Nẵng,Thursday,6.0,2018,Weekdays,4
451455,Đà Nẵng,Monday,5.0,2018,Weekdays,1
451455,Đà Nẵng,Sunday,7.0,2018,Weekends,7
451455,Đà Nẵng,Tuesday,6.0,2018,Weekdays,2
451455,Đà Nẵng,Wednesday,4.0,2018,Weekdays,3
451455,Đà Nẵng,Saturday,8.0,2018,Weekends,6
451455,Đà Nẵng,Friday,4.0,2018,Weekdays,5
451456,Đà Nẵng,Sunday,5.0,2018,Weekends,7
451456,Đà Nẵng,Saturday,5.0,2018,Weekends,6
451461,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451462,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451475,Hồ Chí Minh,Sunday,1.0,2018,Weekends,7
451475,Hồ Chí Minh,Saturday,1.0,2018,Weekends,6
451475,Hồ Chí Minh,Wednesday,1.0,2018,Weekdays,3
451483,Hồ Chí Minh,Thursday,5.0,2018,Weekdays,4
451483,Hồ Chí Minh,Sunday,6.0,2018,Weekends,7
451483,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451484,Đà Nẵng,Thursday,4.0,2018,Weekdays,4
451484,Đà Nẵng,Friday,4.0,2018,Weekdays,5
451484,Đà Nẵng,Monday,4.0,2018,Weekdays,1
451484,Đà Nẵng,Wednesday,4.0,2018,Weekdays,3
451484,Đà Nẵng,Saturday,4.0,2018,Weekends,6
451484,Đà Nẵng,Sunday,4.0,2018,Weekends,7
451484,Đà Nẵng,Tuesday,4.0,2018,Weekdays,2
451486,Nha Trang,Thursday,4.0,2018,Weekdays,4
451486,Nha Trang,Saturday,4.0,2018,Weekends,6
451486,Nha Trang,Sunday,4.0,2018,Weekends,7
451486,Nha Trang,Wednesday,4.0,2018,Weekdays,3
451486,Nha Trang,Tuesday,4.0,2018,Weekdays,2
451486,Nha Trang,Friday,4.0,2018,Weekdays,5
451486,Nha Trang,Monday,4.0,2018,Weekdays,1
451487,Nha Trang,Sunday,5.0,2018,Weekends,7
451494,Đà Nẵng,Thursday,2.0,2018,Weekdays,4
451494,Đà Nẵng,Monday,3.0,2018,Weekdays,1
451494,Đà Nẵng,Saturday,2.0,2018,Weekends,6
451494,Đà Nẵng,Friday,3.0,2018,Weekdays,5
451504,Hồ Chí Minh,Friday,2.0,2018,Weekdays,5
451504,Hồ Chí Minh,Saturday,2.0,2018,Weekends,6
451504,Hồ Chí Minh,Sunday,3.0,2018,Weekends,7
451512,Đà Nẵng,Saturday,4.0,2018,Weekends,6
451512,Đà Nẵng,Sunday,3.0,2018,Weekends,7
451513,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451523,Nha Trang,Sunday,1.0,2018,Weekends,7
451523,Nha Trang,Friday,1.0,2018,Weekdays,5
