ID,Year,City,Brand,Spontaneous,Awareness,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Fre#visit,PPA,Spending,Segmentation,NPS#P3M,NPS#P3M#Group,Spending_use
442839,2018,Hà Nội,Urban Station,Urban Station,Urban Station,Urban Station,Urban Station,,,,,,,,,,8.0,Passive,
799636,2019,Hồ Chí Minh,Milano,Milano,Milano,,,,Know a little,,,,,,,,,,
449822,2018,Hà Nội,Other 1,Other 1,Other 1,Other 1,,,,,,,,,,,,,
806090,2019,Hải Phòng,Other 1,Other,Other,Other,Other,Other,Know it well,Other,Not Applicable,Not Applicable,2.0,25.0,50.0,Seg.02 - Mass Asp (VND 25K - VND 59K),,,50.0
748057,2019,Hồ Chí Minh,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,Know it well,Trung Nguyên,,,,,,,,,
450835,2018,Đà Nẵng,Trung Nguyên,,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
435598,2018,Hải Phòng,Other 2,,Other 2,Other 2,Other 2,Other 2,,,,,1.0,25.0,25.0,Seg.02 - Mass Asp (VND 25K - VND 59K),,,25.0
440515,2018,Hà Nội,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,,,,,,,,,
141274,2017,Hà Nội,Maxx Coffee,,Maxx Coffee,Maxx Coffee,,,,,,,,,,,,,
734311,2019,Nha Trang,Phúc Long,,Phúc Long,,,,Maybe do not know it,,,,,,,,,,
135301,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,Street / Half street coffee (including carts),,8.0,,,,,,
112544,2017,Hồ Chí Minh,Starbucks,,Starbucks,,,,,,,,,,,,,,
728149,2019,Hồ Chí Minh,The Coffee Factory,,The Coffee Factory,,,,Know a little,,,,,,,,,,
451907,2018,Hà Nội,Aha Cafe,,Aha Cafe,Aha Cafe,,,,,,,,,,,,,
767540,2019,Cần Thơ,Mê Trang,,Mê Trang,,,,Maybe do not know it,,,,,,,,,,
812779,2019,Hà Nội,Long Cafe,,Long Cafe,Long Cafe,Long Cafe,,Know a little,,,,,,,,7.0,Passive,
413450,2018,Nha Trang,Highlands Coffee,,Highlands Coffee,,,,,,,,,,,,,,
794157,2019,Hồ Chí Minh,Highlands Coffee,,Highlands Coffee,,,,Know a little,,,,,,,,,,
460260,2018,Đà Nẵng,The Coffee House,,The Coffee House,,,,,,,,,,,,,,
136389,2017,Đà Nẵng,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,,,3.0,,,,9.0,Promoter,
94988,2017,Hồ Chí Minh,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,7.0,Passive,
382292,2018,Cần Thơ,Other 3,Other 3,Other 3,Other 3,Other 3,Other 3,,,Other 3,Other 3,25.0,13.0,325.0,Seg.01 - Mass (<VND 25K),7.0,Passive,325.0
369142,2018,Hồ Chí Minh,Milano,,Milano,,,,,,,,,,,,,,
106848,2017,Cần Thơ,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,,,,,,,
